Potential (V),Current (A),Column 3 (V/s)
-0.389801025,-3.44E-06,
-0.387420654,-3.41E-06,
-0.385192871,-3.39E-06,
-0.38269043,-3.37E-06,
-0.380157471,-3.33E-06,
-0.377593994,-3.29E-06,
-0.375488281,-3.44E-06,
-0.372589111,-3.30E-06,
-0.370513916,-3.33E-06,
-0.367950439,-3.21E-06,
-0.365386963,-3.25E-06,
-0.362976074,-3.28E-06,
-0.360656738,-3.24E-06,
-0.358184814,-3.14E-06,
-0.355773926,-3.12E-06,
-0.35333252,-3.14E-06,
-0.350952148,-3.11E-06,
-0.348327637,-3.05E-06,
-0.346099854,-3.04E-06,
-0.343688965,-3.06E-06,
-0.341094971,-3.03E-06,
-0.338653564,-2.90E-06,
-0.336212158,-2.97E-06,
-0.333740234,-2.94E-06,
-0.331329346,-2.86E-06,
-0.329071045,-2.83E-06,
-0.326324463,-2.84E-06,
-0.32421875,-2.88E-06,
-0.321685791,-2.84E-06,
-0.319030762,-2.69E-06,
-0.316802979,-2.74E-06,
-0.31427002,-2.68E-06,
-0.311950684,-2.67E-06,
-0.309356689,-2.72E-06,
-0.30682373,-2.60E-06,
-0.304504395,-2.57E-06,
-0.302215576,-2.48E-06,
-0.299743652,-2.47E-06,
-0.297210693,-2.35E-06,
-0.294555664,-2.34E-06,
-0.292572021,-2.31E-06,
-0.289703369,-2.18E-06,
-0.286956787,-2.18E-06,
-0.285003662,-2.10E-06,
-0.282653809,-1.95E-06,
-0.280090332,-1.92E-06,
-0.277832031,-1.84E-06,
-0.27545166,-1.70E-06,
-0.272918701,-1.68E-06,
-0.270355225,-1.60E-06,
-0.268035889,-1.57E-06,
-0.265716553,-1.37E-06,
-0.263275146,-1.28E-06,
-0.260620117,-1.10E-06,
-0.258209229,-9.46E-07,
-0.255889893,-8.76E-07,
-0.253265381,-7.47E-07,
-0.250946045,-5.84E-07,
-0.248596191,-3.77E-07,
-0.245849609,5.68E-08,
-0.243438721,3.38E-08,
-0.240936279,2.90E-07,
-0.238525391,4.86E-07,
-0.23651123,6.68E-07,
-0.233886719,9.48E-07,
-0.231323242,1.24E-06,
-0.229064941,1.53E-06,
-0.226501465,1.86E-06,
-0.224090576,2.16E-06,
-0.221710205,2.54E-06,
-0.219360352,2.85E-06,
-0.216644287,3.25E-06,
-0.214355469,3.60E-06,
-0.211761475,4.07E-06,
-0.209381104,4.50E-06,
-0.206695557,4.82E-06,
-0.204742432,5.30E-06,
-0.202026367,5.79E-06,
-0.199432373,6.12E-06,
-0.197265625,6.63E-06,
-0.194702148,7.08E-06,
-0.192260742,7.44E-06,
-0.189971924,8.07E-06,
-0.187469482,8.50E-06,
-0.184814453,8.96E-06,
-0.182647705,9.49E-06,
-0.180267334,9.81E-06,
-0.177520752,1.02E-05,
-0.175384521,1.05E-05,
-0.172912598,1.10E-05,
-0.170410156,1.13E-05,
-0.168182373,1.16E-05,
-0.165527344,1.19E-05,
-0.163146973,1.23E-05,
-0.160583496,1.24E-05,
-0.158508301,1.26E-05,
-0.155944824,1.28E-05,
-0.153289795,1.29E-05,
-0.150848389,1.30E-05,
-0.1484375,1.31E-05,
-0.146118164,1.31E-05,
-0.14352417,1.32E-05,
-0.141204834,1.30E-05,
-0.138427734,1.31E-05,
-0.136199951,1.29E-05,
-0.133789063,1.29E-05,
-0.131439209,1.28E-05,
-0.128875732,1.26E-05,
-0.126434326,1.24E-05,
-0.123931885,1.23E-05,
-0.121704102,1.21E-05,
-0.119171143,1.19E-05,
-0.116668701,1.18E-05,
-0.114318848,1.16E-05,
-0.111755371,1.15E-05,
-0.109466553,1.13E-05,
-0.107147217,1.11E-05,
-0.10446167,1.09E-05,
-0.102203369,1.07E-05,
-0.099822998,1.05E-05,
-0.097167969,1.02E-05,
-0.094787598,1.01E-05,
-0.092590332,9.87E-06,
-0.089874268,9.70E-06,
-0.087738037,9.61E-06,
-0.085144043,9.45E-06,
-0.082733154,9.26E-06,
-0.080047607,9.19E-06,
-0.077789307,8.98E-06,
-0.075378418,8.80E-06,
-0.072875977,8.72E-06,
-0.070526123,8.66E-06,
-0.068023682,8.45E-06,
-0.065460205,8.31E-06,
-0.063171387,8.25E-06,
-0.060577393,8.07E-06,
-0.058135986,7.94E-06,
-0.055603027,7.98E-06,
-0.053192139,7.81E-06,
-0.050354004,7.69E-06,
-0.04833374,7.55E-06,
-0.045901489,7.48E-06,
-0.043496704,7.51E-06,
-0.0409729,7.40E-06,
-0.038729858,7.24E-06,
-0.036221313,7.21E-06,
-0.033755493,7.08E-06,
-0.031317139,7.05E-06,
-0.029156494,6.97E-06,
-0.02651062,6.93E-06,
-0.024127197,6.87E-06,
-0.021603394,6.85E-06,
-0.019229126,6.77E-06,
-0.016763306,6.70E-06,
-0.014334106,6.64E-06,
-0.011828613,6.67E-06,
-0.00960083,6.62E-06,
-0.006869507,6.44E-06,
-0.00446167,6.52E-06,
-0.002124023,6.39E-06,
0.000256348,6.46E-06,
0.002835083,6.33E-06,
0.005282593,6.29E-06,
0.007577515,6.32E-06,
0.010144043,6.25E-06,
0.012460327,6.16E-06,
0.015130615,6.20E-06,
0.017407227,6.18E-06,
0.019772339,6.11E-06,
0.02225647,6.09E-06,
0.024707031,6.01E-06,
0.027081299,6.07E-06,
0.02963562,5.99E-06,
0.031939697,5.95E-06,
0.034402466,5.98E-06,
0.036962891,5.92E-06,
0.039242554,5.92E-06,
0.041751099,5.95E-06,
0.044119263,5.89E-06,
0.046517944,5.84E-06,
0.049041748,5.86E-06,
0.051422119,5.83E-06,
