"Potential,V","Current,A"
-0.475,-9.521077595147991e-06
-0.47,-9.477589079663788e-06
-0.46499999999999997,-9.434665947018477e-06
-0.46,-9.392289103761632e-06
-0.455,-9.350438668637156e-06
-0.44999999999999996,-9.309093694003477e-06
-0.445,-9.268231832033929e-06
-0.44,-9.227828933607065e-06
-0.435,-9.187858565217392e-06
-0.43,-9.148291426112161e-06
-0.425,-9.109094644063388e-06
-0.42000000000000004,-9.070230923585188e-06
-0.41500000000000004,-9.031657514827575e-06
-0.41,-8.993324964612433e-06
-0.405,-8.955175602903683e-06
-0.4,-8.917141708085548e-06
-0.395,-8.879143282475812e-06
-0.39,-8.841085355002475e-06
-0.385,-8.80285471061155e-06
-0.38,-8.76431592492263e-06
-0.375,-8.725306557518118e-06
-0.37,-8.68563132702591e-06
-0.365,-8.645055055145724e-06
-0.36,-8.603294123892929e-06
-0.355,-8.560006139643907e-06
-0.35,-8.51477743798128e-06
-0.345,-8.467107993860316e-06
-0.33999999999999997,-8.416393221572249e-06
-0.335,-8.361902058036449e-06
-0.32999999999999996,-8.302750621654825e-06
-0.325,-8.237870629436238e-06
-0.32,-8.165971641480586e-06
-0.31500000000000006,-8.085496092317955e-06
-0.31,-7.994565976170763e-06
-0.30500000000000005,-7.890919999572578e-06
-0.3,-7.771840032927327e-06
-0.29500000000000004,-7.634065832591552e-06
-0.29000000000000004,-7.47369733951485e-06
-0.28500000000000003,-7.286084493805289e-06
-0.28,-7.065705580700062e-06
-0.27499999999999997,-6.806036836122875e-06
-0.27,-6.499418637755255e-06
-0.265,-6.136927393512062e-06
-0.26,-5.708267545063018e-06
-0.255,-5.201705241905199e-06
-0.25,-4.604074379405085e-06
-0.245,-3.900896659260392e-06
-0.24,-3.0766692752531796e-06
-0.235,-2.1153847677418243e-06
-0.23,-1.0013538437675006e-06
-0.22499999999999998,2.796023323406244e-07
-0.22000000000000003,1.7385468161727523e-06
-0.215,3.381415855259995e-06
-0.21000000000000002,5.206695928211039e-06
-0.205,7.203005093773425e-06
-0.2,9.34693934196383e-06
-0.195,1.1601675718615472e-05
-0.19000000000000003,1.391688473444605e-05
-0.18500000000000005,1.623042927355934e-05
-0.17999999999999997,1.8472071095152628e-05
-0.175,2.056898334036487e-05
-0.17,2.2452376294693526e-05
-0.16500000000000004,2.4064150092099528e-05
-0.15999999999999998,2.5362360458938446e-05
-0.155,2.6324504502993846e-05
-0.15000000000000002,2.694814390773616e-05
-0.14500000000000005,2.7249002253424955e-05
-0.13999999999999999,2.7257187889452918e-05
-0.135,2.7012457319790017e-05
-0.13000000000000003,2.6559418971194165e-05
-0.12500000000000006,2.594335876336126e-05
-0.12,2.520706641179192e-05
-0.11500000000000002,2.438875982531881e-05
-0.11000000000000003,2.352100408672451e-05
-0.10499999999999997,2.263041499225251e-05
-0.09999999999999999,2.1737908604420376e-05
-0.09500000000000001,2.0859279875370053e-05
-0.09000000000000004,2.0005938847065976e-05
-0.08499999999999996,1.9185683398364225e-05
-0.07999999999999999,1.840343231786003e-05
-0.07500000000000002,1.76618772998676e-05
-0.07000000000000005,1.6962036883926812e-05
-0.06499999999999997,1.630371092751777e-05
-0.06,1.568584306719203e-05
-0.05500000000000002,1.510680286593311e-05
-0.050000000000000044,1.456460063565723e-05
-0.044999999999999984,1.4057047506217594e-05
-0.04000000000000001,1.3581872014570355e-05
-0.03500000000000003,1.3136802848105699e-05
-0.030000000000000054,1.2719625696597298e-05
-0.024999999999999994,1.2328220617397212e-05
-0.020000000000000018,1.1960584970187482e-05
-0.015000000000000041,1.161484584612571e-05
-0.010000000000000064,1.1289264999768728e-05
-0.004999999999999977,1.0982238556590222e-05
0.0,1.0692293195802013e-05
0.004999999999999977,1.0418080061884101e-05
0.009999999999999953,1.0158367318312107e-05
0.015000000000000013,9.912031997734575e-06
0.01999999999999999,9.67805160985494e-06
0.024999999999999967,9.45549582292113e-06
0.029999999999999943,9.243518429184801e-06
0.035,9.041349726552914e-06
0.03999999999999998,8.848289392834522e-06
0.04499999999999996,8.663699889471274e-06
0.05000000000000002,8.487000404196127e-06
0.05499999999999999,8.317661322794627e-06
0.05999999999999997,8.155199208538675e-06
0.06499999999999995,7.999172260154653e-06
0.07000000000000003,7.84917621495261e-06
0.07500000000000001,7.704840661922049e-06
0.07999999999999996,7.565825730108089e-06
0.08499999999999996,7.431819117327683e-06
0.09000000000000002,7.302533426826654e-06
0.09499999999999997,7.177703781934742e-06
0.09999999999999998,7.057085689495852e-06
0.10499999999999993,6.940453126492918e-06
0.11000000000000004,6.827596826700908e-06
0.11499999999999999,6.718322745344941e-06
0.12,6.612450682705184e-06
0.12499999999999994,6.50981304955832e-06
0.13,6.410253759039516e-06
0.135,6.313627230694623e-06
0.13999999999999996,6.219797494694676e-06
0.14499999999999996,6.1286373856247085e-06
0.15000000000000002,6.040027815428307e-06
0.15499999999999997,5.953857117333989e-06
0.15999999999999998,5.870020453140055e-06
0.16499999999999992,5.788419276742795e-06
0.16999999999999998,5.708960848232884e-06
0.175,5.631557792969526e-06
0.17999999999999994,5.556127701185385e-06
0.18499999999999994,5.482592763463585e-06
0.19,5.410879438910415e-06
0.19499999999999995,5.340918152339073e-06
