WE(1).Potential (V)	WE(1).Current (A)	Column 3 (V/s)
-0.114227294921875	-4.07989501953125E-06	
-0.11669921875	-4.2242431640625E-06	
-0.1190185546875	-4.5135498046875E-06	
-0.12176513671875	-4.85137939453125E-06	
-0.12396240234375	-5.17974853515625E-06	
-0.126739501953125	-5.48431396484375E-06	
-0.1287841796875	-5.73211669921875E-06	
-0.131256103515625	-6.1346435546875E-06	
-0.133758544921875	-6.50482177734375E-06	
-0.136199951171875	-6.93511962890625E-06	
-0.138885498046875	-7.25128173828125E-06	
-0.14117431640625	-7.6202392578125E-06	
-0.143646240234375	-8.0841064453125E-06	
-0.1461181640625	-8.5906982421875E-06	
-0.148406982421875	-8.9630126953125E-06	
-0.150787353515625	-9.53369140625E-06	
-0.1531982421875	-1.00006103515625E-05	
-0.15594482421875	-1.04522705078125E-05	
-0.158111572265625	-1.0833740234375E-05	
-0.16058349609375	-1.13983154296875E-05	
-0.1629638671875	-1.177978515625E-05	
-0.16552734375	-1.24298095703125E-05	
-0.168060302734375	-1.27960205078125E-05	
-0.170196533203125	-1.32904052734375E-05	
-0.17266845703125	-1.36322021484375E-05	
-0.1754150390625	-1.42242431640625E-05	
-0.177703857421875	-1.45294189453125E-05	
-0.17999267578125	-1.4971923828125E-05	
-0.182708740234375	-1.5277099609375E-05	
-0.185089111328125	-1.563720703125E-05	
-0.187347412109375	-1.58599853515625E-05	
-0.189971923828125	-1.617431640625E-05	
-0.192291259765625	-1.6461181640625E-05	
-0.194671630859375	-1.66290283203125E-05	
-0.197296142578125	-1.67510986328125E-05	
-0.19970703125	-1.6912841796875E-05	
-0.2020263671875	-1.6998291015625E-05	
-0.204498291015625	-1.71112060546875E-05	
-0.206939697265625	-1.707763671875E-05	
-0.209503173828125	-1.71417236328125E-05	
-0.21185302734375	-1.71142578125E-05	
-0.21435546875	-1.7120361328125E-05	
-0.216888427734375	-1.69586181640625E-05	
-0.2191162109375	-1.68975830078125E-05	
-0.2215576171875	-1.67999267578125E-05	
-0.223907470703125	-1.67205810546875E-05	
-0.226470947265625	-1.65771484375E-05	
-0.22906494140625	-1.64520263671875E-05	
-0.23126220703125	-1.63177490234375E-05	
-0.233795166015625	-1.61590576171875E-05	
-0.236297607421875	-1.5936279296875E-05	
-0.238616943359375	-1.5679931640625E-05	
-0.241119384765625	-1.5606689453125E-05	
-0.24371337890625	-1.5423583984375E-05	
-0.246063232421875	-1.5252685546875E-05	
-0.2484130859375	-1.510009765625E-05	
-0.250732421875	-1.4898681640625E-05	
-0.253143310546875	-1.47613525390625E-05	
-0.255584716796875	-1.4520263671875E-05	
-0.25830078125	-1.43463134765625E-05	
-0.260345458984375	-1.41815185546875E-05	
-0.262969970703125	-1.40106201171875E-05	
-0.265625	-1.38519287109375E-05	
-0.268096923828125	-1.368408203125E-05	
-0.2703857421875	-1.3543701171875E-05	
-0.272705078125	-1.3421630859375E-05	
-0.275177001953125	-1.32568359375E-05	
-0.27777099609375	-1.312255859375E-05	
-0.280029296875	-1.2969970703125E-05	
-0.28271484375	-1.2835693359375E-05	
-0.28497314453125	-1.26922607421875E-05	
-0.287506103515625	-1.265869140625E-05	
-0.290008544921875	-1.24298095703125E-05	
-0.292388916015625	-1.240234375E-05	
-0.295013427734375	-1.22039794921875E-05	
-0.29705810546875	-1.214599609375E-05	
-0.299560546875	-1.20147705078125E-05	
-0.30230712890625	-1.19140625E-05	
-0.30450439453125	-1.17950439453125E-05	
-0.307037353515625	-1.17279052734375E-05	
-0.30938720703125	-1.16119384765625E-05	
-0.31201171875	-1.15570068359375E-05	
-0.314178466796875	-1.14288330078125E-05	
-0.316650390625	-1.1358642578125E-05	
-0.319122314453125	-1.12335205078125E-05	
-0.321563720703125	-1.10870361328125E-05	
-0.323944091796875	-1.1083984375E-05	
-0.326873779296875	-1.1004638671875E-05	
-0.328826904296875	-1.0992431640625E-05	
-0.33148193359375	-1.0906982421875E-05	
-0.333953857421875	-1.0772705078125E-05	
-0.336181640625	-1.07086181640625E-05	
-0.33868408203125	-1.06231689453125E-05	
-0.340850830078125	-1.05438232421875E-05	
-0.343414306640625	-1.0479736328125E-05	
-0.34600830078125	-1.04278564453125E-05	
-0.348602294921875	-1.03271484375E-05	
-0.350921630859375	-1.0247802734375E-05	
-0.353271484375	-1.0205078125E-05	
-0.3555908203125	-1.01776123046875E-05	
