"Potential, V","Current, A"
-0.136,-2.79229e-06
-0.137,-2.87925e-06
-0.138,-2.9632e-06
-0.139,-3.05216e-06
-0.14,-3.14512e-06
-0.141,-3.23507e-06
-0.142,-3.33103e-06
-0.143,-3.42599e-06
-0.144,-3.52094e-06
-0.145,-3.6209e-06
-0.146,-3.71886e-06
-0.147,-3.82281e-06
-0.148,-3.92777e-06
-0.149,-4.02973e-06
-0.15,-4.13668e-06
-0.151,-4.24364e-06
-0.152,-4.3516e-06
-0.153,-4.46455e-06
-0.154,-4.57051e-06
-0.155,-4.68347e-06
-0.156,-4.79742e-06
-0.157,-4.90838e-06
-0.158,-5.02534e-06
-0.159,-5.13829e-06
-0.16,-5.25525e-06
-0.161,-5.37321e-06
-0.162,-5.48516e-06
-0.163,-5.60312e-06
-0.164,-5.72108e-06
-0.165,-5.83203e-06
-0.166,-5.95099e-06
-0.167,-6.06995e-06
-0.168,-6.1809e-06
-0.169,-6.29886e-06
-0.17,-6.40782e-06
-0.171,-6.52277e-06
-0.172,-6.63573e-06
-0.173,-6.74469e-06
-0.174,-6.85565e-06
-0.175,-6.9626e-06
-0.176,-7.06656e-06
-0.177,-7.17452e-06
-0.178,-7.27247e-06
-0.179,-7.37743e-06
-0.18,-7.47639e-06
-0.181,-7.56934e-06
-0.182,-7.6663e-06
-0.183,-7.75526e-06
-0.184,-7.84321e-06
-0.185,-7.93317e-06
-0.186,-8.01613e-06
-0.187,-8.09808e-06
-0.188,-8.17704e-06
-0.189,-8.247e-06
-0.19,-8.32195e-06
-0.191,-8.38991e-06
-0.192,-8.45787e-06
-0.193,-8.52282e-06
-0.194,-8.57878e-06
-0.195,-8.63574e-06
-0.196,-8.69069e-06
-0.197,-8.73465e-06
-0.198,-8.78561e-06
-0.199,-8.82856e-06
-0.2,-8.86652e-06
-0.201,-8.90548e-06
-0.202,-8.93443e-06
-0.203,-8.96539e-06
-0.204,-8.99435e-06
-0.205,-9.0213e-06
-0.206,-9.04026e-06
-0.207,-9.05522e-06
-0.208,-9.06717e-06
-0.209,-9.08013e-06
-0.21,-9.08509e-06
-0.211,-9.09305e-06
-0.212,-9.097e-06
-0.213,-9.09296e-06
-0.214,-9.09192e-06
-0.215,-9.08587e-06
-0.216,-9.07583e-06
-0.217,-9.06979e-06
-0.218,-9.05574e-06
-0.219,-9.0407e-06
-0.22,-9.02566e-06
-0.221,-9.00461e-06
-0.222,-8.98557e-06
-0.223,-8.96153e-06
-0.224,-8.93748e-06
-0.225,-8.91444e-06
-0.226,-8.8844e-06
-0.227,-8.85635e-06
-0.228,-8.82631e-06
-0.229,-8.79327e-06
-0.23,-8.76122e-06
-0.231,-8.72718e-06
-0.232,-8.69214e-06
-0.233,-8.65709e-06
-0.234,-8.61805e-06
-0.235,-8.58101e-06
-0.236,-8.54396e-06
-0.237,-8.50392e-06
-0.238,-8.46488e-06
-0.239,-8.42283e-06
-0.24,-8.38179e-06
-0.241,-8.34175e-06
-0.242,-8.2987e-06
-0.243,-8.25766e-06
-0.244,-8.21662e-06
-0.245,-8.17157e-06
-0.246,-8.13053e-06
-0.247,-8.08749e-06
-0.248,-8.04344e-06
-0.249,-8.0014e-06
-0.25,-7.95836e-06
-0.251,-7.91432e-06
-0.252,-7.87227e-06
-0.253,-7.82723e-06
-0.254,-7.78619e-06
-0.255,-7.74314e-06
-0.256,-7.7001e-06
-0.257,-7.65906e-06
-0.258,-7.61601e-06
-0.259,-7.57397e-06
-0.26,-7.53293e-06
-0.261,-7.49088e-06
-0.262,-7.45084e-06
-0.263,-7.4108e-06
-0.264,-7.36875e-06
-0.265,-7.32971e-06
-0.266,-7.28867e-06
-0.267,-7.24962e-06
-0.268,-7.21258e-06
-0.269,-7.17354e-06
-0.27,-7.13449e-06
-0.271,-7.09645e-06
-0.272,-7.05841e-06
-0.273,-7.02236e-06
-0.274,-6.98532e-06
-0.275,-6.94928e-06
-0.276,-6.91323e-06
-0.277,-6.87719e-06
-0.278,-6.84215e-06
-0.279,-6.8081e-06
-0.28,-6.77306e-06
-0.281,-6.74002e-06
-0.282,-6.70597e-06
-0.283,-6.67293e-06
-0.284,-6.64089e-06
-0.285,-6.60784e-06
-0.286,-6.5768e-06
-0.287,-6.54576e-06
-0.288,-6.51372e-06
-0.289,-6.48467e-06
-0.29,-6.45363e-06
-0.291,-6.42259e-06
-0.292,-6.39454e-06
-0.293,-6.3645e-06
-0.294,-6.33646e-06
-0.295,-6.30841e-06
-0.296,-6.28037e-06
-0.297,-6.25333e-06
-0.298,-6.22628e-06
-0.299,-6.19924e-06
-0.3,-6.1742e-06
